Year,Gasoline Price 
Aug-90,1.218
Sep-90,1.258
Oct-90,1.3354
Nov-90,1.324
Dec-90,NA
Jan-91,1.18
Feb-91,1.094
Mar-91,1.04
Apr-91,1.076
May-91,1.126
Jun-91,1.128
Jul-91,1.0956
Aug-91,1.11475
Sep-91,1.1092
Oct-91,1.088
Nov-91,1.099
Dec-91,1.0762
Jan-92,1.022
Feb-92,1.006
Mar-92,1.013
Apr-92,1.05175
May-92,1.10725
Jun-92,1.1448
Jul-92,1.1365
Aug-92,1.1218
Sep-92,1.1215
Oct-92,1.114
Nov-92,1.1112
Dec-92,1.0775
Jan-93,1.06175
Feb-93,1.05425
Mar-93,1.0522
Apr-93,1.078
May-93,1.1004
Jun-93,1.09725
Jul-93,1.07775
Aug-93,1.0616
Sep-93,1.0495
Oct-93,1.09175
Nov-93,1.0664
Dec-93,1.014
Jan-94,0.9984
Feb-94,1.009
Mar-94,1.00775
Apr-94,1.02725
May-94,1.0474
Jun-94,1.078
Jul-94,1.10575
Aug-94,1.1548
Sep-94,1.14375
Oct-94,1.1136
Nov-94,1.11
Dec-94,1.05975
Jan-95,1.0662
Feb-95,1.058
Mar-95,1.05925
Apr-95,1.1035
May-95,1.1724
Jun-95,1.186
Jul-95,1.148
Aug-95,1.12
Sep-95,1.1075
Oct-95,1.0816
Nov-95,1.058
Dec-95,1.0655
Jan-96,1.0836
Feb-96,1.0815
Mar-96,1.12925
Apr-96,1.2202
May-96,1.2625
Jun-96,1.2425
Jul-96,1.215
Aug-96,1.19875
Sep-96,1.1998
Oct-96,1.204
Nov-96,1.2345
Dec-96,1.2334
Jan-97,1.23075
Feb-97,1.2235
Mar-97,1.197
Apr-97,1.188
May-97,1.19075
Jun-97,1.1886
Jul-97,1.1678
Aug-97,1.2032
Sep-97,1.2156
Oct-97,1.1846
Nov-97,1.1602
Dec-97,1.1186
Jan-98,1.0796
Feb-98,1.0442
Mar-98,1.0144
Apr-98,1.024
May-98,1.0458
Jun-98,1.0478
Jul-98,1.0398
Aug-98,1.0108
Sep-98,0.9948
Oct-98,1.0046
Nov-98,0.9794
Dec-98,0.929
Jan-99,0.9162
Feb-99,0.9024
Mar-99,0.9606
Apr-99,1.0902
May-99,1.1034
Jun-99,1.0936
Jul-99,1.1296
Aug-99,1.199
Sep-99,1.2342
Oct-99,1.2338
Nov-99,1.24
Dec-99,1.261
Jan-00,1.2788
Feb-00,1.3578
Mar-00,1.4812
Apr-00,1.446
May-00,1.4564
Jun-00,1.5912
Jul-00,1.5288
Aug-00,1.4408
Sep-00,1.5114
Oct-00,1.5084
Nov-00,1.5004
Dec-00,1.4324
Jan-01,1.4274
Feb-01,1.4342
Mar-01,1.3892
Apr-01,1.5172
May-01,1.64
Jun-01,1.5692
Jul-01,1.3402
Aug-01,1.3728
Sep-01,1.501
Oct-01,1.2738
Nov-01,1.1494
Dec-01,1.072
Jan-02,1.0944
Feb-02,1.088
Mar-02,1.1938
Apr-02,1.3618
May-02,1.3532
Jun-02,1.342
Jul-02,1.364
Aug-02,1.3616
Sep-02,1.3634
Oct-02,1.4186
Nov-02,1.3932
Dec-02,1.3484
Jan-03,1.4222
Feb-03,1.553
Mar-03,1.636
Apr-03,1.529
May-03,1.4474
Jun-03,1.4516
Jul-03,1.4728
Aug-03,1.5682
Sep-03,1.6528
Oct-03,1.5152
Nov-03,1.4788
Dec-03,1.4482
Jan-04,1.5346
Feb-04,1.6124
Mar-04,1.6886
Apr-04,1.748
May-04,1.9448
Jun-04,1.929
Jul-04,1.8624
Aug-04,1.8416
Sep-04,1.8378
Oct-04,1.942
Nov-04,1.9318
Dec-04,1.8202
Jan-05,1.8106
Feb-05,1.8882
Mar-05,2.0308
Apr-05,2.1958
May-05,2.1144
Jun-05,2.1084
Jul-05,2.2348
Aug-05,2.449
Sep-05,2.8054
Oct-05,2.689
Nov-05,2.2648
Dec-05,2.1638
Jan-06,2.3
Feb-06,2.2658
Mar-06,2.3772
Apr-06,2.6708
May-06,2.8312
Jun-06,2.8034
Jul-06,2.9232
Aug-06,2.9188
Sep-06,2.5608
Oct-06,2.214
Nov-06,2.2096
Dec-06,2.2716
Jan-07,2.1906
Feb-07,2.2114
Mar-07,2.4696
Apr-07,2.7874
May-07,3.0798
Jun-07,3.0584
Jul-07,2.9474
Aug-07,2.7912
Sep-07,2.8044
Oct-07,2.7912
Nov-07,3.0232
Dec-07,2.9838
Jan-08,3.0202
Feb-08,3.0032
Mar-08,3.2154
Apr-08,3.3882
May-08,3.7012
Jun-08,3.9894
Jul-08,3.985
Aug-08,3.7708
Sep-08,3.7094
Oct-08,3.1364
Nov-08,2.1966
Dec-08,1.6688
Jan-09,1.7358
Feb-09,1.876
Mar-09,1.9374
Apr-09,2.0226
May-09,2.1948
Jun-09,2.5968
Jul-09,2.5012
Aug-09,2.5624
Sep-09,2.4946
Oct-09,2.4852
Nov-09,2.6138
Dec-09,2.573
Jan-10,2.6554
Feb-10,2.6158
Mar-10,2.7418
Apr-10,2.807
May-10,2.7954
Jun-10,2.6826
Jul-10,2.6858
Aug-10,2.6832
Sep-10,2.6706
Oct-10,2.7466
Nov-10,2.8148
Dec-10,2.9216
Jan-11,3.0578
Feb-11,3.1464
Mar-11,3.4752
Apr-11,3.704
May-11,3.8494
Jun-11,3.6506
Jul-11,3.594
Aug-11,3.6118
Sep-11,3.5788
Oct-11,3.4
Nov-11,3.3446
Dec-11,3.2256
Jan-12,3.3296
Feb-12,3.4904
Mar-12,3.747
Apr-12,3.8374
May-12,3.6674
Jun-12,3.4866
Jul-12,3.3794
Aug-12,3.6244
Sep-12,3.785
Oct-12,3.6534
Nov-12,3.4
Dec-12,3.2564
Jan-13,3.2528
Feb-13,3.5432
Mar-13,3.6626
Apr-13,3.5014
May-13,3.5426
Jun-13,3.581
Jul-13,3.515
Aug-13,3.5258
Sep-13,3.4738
Oct-13,3.2986
Nov-13,3.1958
Dec-13,3.2088
Jan-14,3.2546
Feb-14,3.2922
Mar-14,3.474
Apr-14,3.5764
May-14,3.6076
Jun-14,3.6258
Jul-14,3.5582
Aug-14,3.4338
Sep-14,3.3536
Oct-14,3.1566
Nov-14,2.9032
Dec-14,2.4882
Jan-15,2.0824
Feb-15,2.118
Mar-15,2.3522
Apr-15,2.3648
May-15,2.5522
Jun-15,2.7002
Jul-15,2.675
Aug-15,2.5216
Sep-15,2.3012
Oct-15,2.2334
Nov-15,2.0882
Dec-15,1.9516
Jan-16,1.861
Feb-16,1.6812
Mar-16,1.8592
Apr-16,2.0168
May-16,2.1994
Jun-16,2.2984
Jul-16,2.1758
Aug-16,2.1194
Sep-16,2.1662
Oct-16,2.1864
Nov-16,2.1156
Dec-16,2.1694
Jan-17,2.2854
Feb-17,2.226
Mar-17,2.241
Apr-17,2.3176
May-17,2.3032
Jun-17,2.2668
Jul-17,2.2108
Aug-17,2.291
Sep-17,2.5206
Oct-17,2.4296
Nov-17,2.4612
Dec-17,2.3994
Jan-18,2.4672
Feb-18,2.4936
Mar-18,2.4788
Apr-18,2.652
May-18,2.7942
Jun-18,2.8166
Jul-18,2.7704
Aug-18,2.7686
Sep-18,2.767
Oct-18,2.7852
Nov-18,2.5952
Dec-18,2.263
Jan-19,2.1472
Feb-19,2.2104
Mar-19,2.4166
Apr-19,2.694
May-19,2.7372
Jun-19,2.6202
Jul-19,2.6404
Aug-19,2.5398
Sep-19,2.4888
Oct-19,2.5014
Nov-19,2.4778
Dec-19,2.4692
Jan-20,2.4648
Feb-20,2.3608
Mar-20,2.1256
Apr-20,1.754
May-20,1.7462
Jun-20,1.9978
Jul-20,2.0982
Aug-20,2.093
Sep-20,2.1028
Oct-20,2.076
Nov-20,2.0148
Dec-20,2.0886
Jan-21,2.2266
Feb-21,2.3888
Mar-21,2.6066
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
