Year,Dispsable income 
1967,16181.08333
1968,16748.75
1969,17145.41667
1970,17732.16667
1971,18321.16667
1972,18997.33333
1973,19986
1974,19583.75
1975,19871.08333
1976,20307.41667
1977,20737.41667
1978,21455.41667
1979,21634
1980,21538.25
1981,21844.08333
1982,22114
1983,22669.75
1984,24014.16667
1985,24518.25
1986,25219.5
1987,25547
1988,26506.83333
1989,27027.66667
1990,27250.66667
1991,27084.58333
1992,27841.08333
1993,27936.5
1994,28355.08333
1995,28954.25
1996,29527.58333
1997,30244.25
1998,31649.91667
1999,32312.41667
2000,33567.16667
2001,34148.66667
2002,34847.91667
2003,35444.66667
2004,36300.41667
2005,36526.08333
2006,37620.75
2007,38118.58333
2008,38124.58333
2009,37728.83333
2010,38162
2011,38779
2012,39826.09091
2013,39002
2014,40307.83333
2015,41684
2016,42207.5
2017,43233.25
2018,44552
2019,45301.5
2020,47689.16667
