Year,Loan  value ratio of new car loans autofinance companies 
1971,86.14285714
1972,86.91666667
1973,86.5
1974,87.58333333
1975,86.5
1976,86.58333333
1977,87.58333333
1978,88.75
1979,89
1980,87.58333333
1981,86.08333333
1982,85.33333333
1983,86.25
1984,88
1985,91.25
1986,90.83333333
1987,93.41666667
1988,93.91666667
1989,90.5
1990,86.5
1991,87.66666667
1992,89.25
1993,90.69833333
1994,92.49333333
1995,92.49333333
1996,90.74833333
1997,92.17
1998,91.855
1999,91.60583333
2000,92.0975
2001,91.34166667
2002,93.81545455
2003,95.3375
2004,88.6825
2005,87.91666667
2006,93.99166667
2007,95.105
2008,90.43454545
2009,89.97166667
2010,86.37333333
